RegistryName, LocalizedName(if exist), ParentAdvancementLocalizedName
minecraft:recipes/building_blocks/chiseled_sandstone, minecraft:recipes/building_blocks/chiseled_sandstone, minecraft:recipes/root
minecraft:recipes/misc/light_blue_dye_from_lapis_bonemeal, minecraft:recipes/misc/light_blue_dye_from_lapis_bonemeal, minecraft:recipes/root
minecraft:recipes/building_blocks/green_wool, minecraft:recipes/building_blocks/green_wool, minecraft:recipes/root
thebetweenlands:farmer/necrofarmer, thebetweenlands:farmer/necrofarmer, thebetweenlands:farmer/mr_compost
minecraft:recipes/tools/diamond_axe, minecraft:recipes/tools/diamond_axe, minecraft:recipes/root
minecraft:recipes/building_blocks/brown_wool, minecraft:recipes/building_blocks/brown_wool, minecraft:recipes/root
minecraft:nether/find_fortress, minecraft:nether/find_fortress, minecraft:nether/root
minecraft:recipes/building_blocks/end_bricks, minecraft:recipes/building_blocks/end_bricks, minecraft:recipes/root
thebetweenlands:craftsman/getting_harder_wood, thebetweenlands:craftsman/getting_harder_wood, thebetweenlands:craftsman/root
minecraft:recipes/decorations/painting, minecraft:recipes/decorations/painting, minecraft:recipes/root
minecraft:recipes/decorations/pink_bed, minecraft:recipes/decorations/pink_bed, minecraft:recipes/root
mowziesmobs:kill_grottol_fortune, mowziesmobs:kill_grottol_fortune, mowziesmobs:kill_grottol
minecraft:recipes/building_blocks/white_stained_glass, minecraft:recipes/building_blocks/white_stained_glass, minecraft:recipes/root
minecraft:recipes/redstone/acacia_fence_gate, minecraft:recipes/redstone/acacia_fence_gate, minecraft:recipes/root
minecraft:recipes/decorations/black_carpet, minecraft:recipes/decorations/black_carpet, minecraft:recipes/root
minecraft:recipes/combat/arrow, minecraft:recipes/combat/arrow, minecraft:recipes/root
minecraft:recipes/building_blocks/stone_slab, minecraft:recipes/building_blocks/stone_slab, minecraft:recipes/root
minecraft:recipes/building_blocks/coal_block, minecraft:recipes/building_blocks/coal_block, minecraft:recipes/root
thebetweenlands:fighter/root, thebetweenlands:fighter/root, No Parent
minecraft:story/cure_zombie_villager, minecraft:story/cure_zombie_villager, minecraft:story/enter_the_nether
minecraft:recipes/redstone/light_weighted_pressure_plate, minecraft:recipes/redstone/light_weighted_pressure_plate, minecraft:recipes/root
thebetweenlands:fighter/a_spiky_matter, thebetweenlands:fighter/a_spiky_matter, thebetweenlands:fighter/chopping_boy
minecraft:recipes/decorations/snow_layer, minecraft:recipes/decorations/snow_layer, minecraft:recipes/root
minecraft:recipes/tools/stone_shovel, minecraft:recipes/tools/stone_shovel, minecraft:recipes/root
minecraft:recipes/decorations/yellow_stained_glass_pane, minecraft:recipes/decorations/yellow_stained_glass_pane, minecraft:recipes/root
minecraft:recipes/building_blocks/blue_concrete_powder, minecraft:recipes/building_blocks/blue_concrete_powder, minecraft:recipes/root
minecraft:recipes/building_blocks/cyan_stained_glass, minecraft:recipes/building_blocks/cyan_stained_glass, minecraft:recipes/root
minecraft:recipes/building_blocks/light_blue_stained_hardened_clay, minecraft:recipes/building_blocks/light_blue_stained_hardened_clay, minecraft:recipes/root
vampirism:vampire/first_blood, vampirism:vampire/first_blood, vampirism:vampire/become_vampire
minecraft:recipes/building_blocks/cyan_stained_hardened_clay, minecraft:recipes/building_blocks/cyan_stained_hardened_clay, minecraft:recipes/root
minecraft:recipes/building_blocks/andesite, minecraft:recipes/building_blocks/andesite, minecraft:recipes/root
minecraft:recipes/combat/golden_helmet, minecraft:recipes/combat/golden_helmet, minecraft:recipes/root
minecraft:recipes/tools/lead, minecraft:recipes/tools/lead, minecraft:recipes/root
minecraft:recipes/building_blocks/jungle_wooden_slab, minecraft:recipes/building_blocks/jungle_wooden_slab, minecraft:recipes/root
minecraft:recipes/building_blocks/smooth_red_sandstone, minecraft:recipes/building_blocks/smooth_red_sandstone, minecraft:recipes/root
abyssalcraft:mine_coralium, abyssalcraft:mine_coralium, abyssalcraft:mine_abyssalnite
thebetweenlands:herbalist/root, thebetweenlands:herbalist/root, No Parent
minecraft:story/root, minecraft:story/root, No Parent
minecraft:recipes/misc/slime_ball, minecraft:recipes/misc/slime_ball, minecraft:recipes/root
minecraft:recipes/redstone/dropper, minecraft:recipes/redstone/dropper, minecraft:recipes/root
iceandfire:iceandfire/dragon_flute, iceandfire:iceandfire/dragon_flute, iceandfire:iceandfire/dragon_egg
minecraft:recipes/misc/coal, minecraft:recipes/misc/coal, minecraft:recipes/root
iceandfire:iceandfire/tame_hippocampus, iceandfire:iceandfire/tame_hippocampus, iceandfire:iceandfire/bestiary
minecraft:story/form_obsidian, minecraft:story/form_obsidian, minecraft:story/lava_bucket
minecraft:end/find_end_city, minecraft:end/find_end_city, minecraft:end/enter_end_gateway
minecraft:recipes/building_blocks/magma, minecraft:recipes/building_blocks/magma, minecraft:recipes/root
minecraft:recipes/brewing/brewing_stand, minecraft:recipes/brewing/brewing_stand, minecraft:recipes/root
minecraft:recipes/root, minecraft:recipes/root, No Parent
minecraft:recipes/building_blocks/string_to_wool, minecraft:recipes/building_blocks/string_to_wool, minecraft:recipes/root
mowziesmobs:kill_frostmaw, mowziesmobs:kill_frostmaw, mowziesmobs:root
minecraft:recipes/combat/leather_chestplate, minecraft:recipes/combat/leather_chestplate, minecraft:recipes/root
minecraft:end/enter_end_gateway, minecraft:end/enter_end_gateway, minecraft:end/kill_dragon
thebetweenlands:miner/rock_bottom, thebetweenlands:miner/rock_bottom, thebetweenlands:miner/advanced_darkness
minecraft:recipes/building_blocks/acacia_planks, minecraft:recipes/building_blocks/acacia_planks, minecraft:recipes/root
abyssalcraft:dreadium, abyssalcraft:dreadium, abyssalcraft:mine_dreadlands_ores
thebetweenlands:fighter/whhyyy, thebetweenlands:fighter/whhyyy, thebetweenlands:fighter/chopping_boy
vampirism:main/regicide, vampirism:main/regicide, vampirism:main/vampire_forest
minecraft:recipes/tools/compass, minecraft:recipes/tools/compass, minecraft:recipes/root
minecraft:recipes/redstone/repeater, minecraft:recipes/redstone/repeater, minecraft:recipes/root
thebetweenlands:craftsman/root, thebetweenlands:craftsman/root, No Parent
thebetweenlands:craftsman/feel_it_coming, thebetweenlands:craftsman/feel_it_coming, thebetweenlands:craftsman/all_over_again
thebetweenlands:farmer/pure_and_dirty, thebetweenlands:farmer/pure_and_dirty, thebetweenlands:farmer/mr_compost
minecraft:nether/obtain_blaze_rod, minecraft:nether/obtain_blaze_rod, minecraft:nether/find_fortress
minecraft:recipes/building_blocks/quartz_block, minecraft:recipes/building_blocks/quartz_block, minecraft:recipes/root
minecraft:recipes/building_blocks/polished_andesite, minecraft:recipes/building_blocks/polished_andesite, minecraft:recipes/root
thebetweenlands:fighter/illegal_logging, thebetweenlands:fighter/illegal_logging, thebetweenlands:fighter/chopping_boy
thebetweenlands:fighter/shield_wall, thebetweenlands:fighter/shield_wall, thebetweenlands:fighter/serious_business
minecraft:recipes/redstone/iron_door, minecraft:recipes/redstone/iron_door, minecraft:recipes/root
minecraft:recipes/building_blocks/purpur_block, minecraft:recipes/building_blocks/purpur_block, minecraft:recipes/root
minecraft:recipes/building_blocks/pink_stained_hardened_clay, minecraft:recipes/building_blocks/pink_stained_hardened_clay, minecraft:recipes/root
minecraft:recipes/decorations/nether_brick_fence, minecraft:recipes/decorations/nether_brick_fence, minecraft:recipes/root
iceandfire:iceandfire/stymphalian_arrow, iceandfire:iceandfire/stymphalian_arrow, iceandfire:iceandfire/kill_stymphalian_bird
minecraft:recipes/misc/magenta_dye_from_allium, minecraft:recipes/misc/magenta_dye_from_allium, minecraft:recipes/root
minecraft:recipes/decorations/red_bed, minecraft:recipes/decorations/red_bed, minecraft:recipes/root
minecraft:recipes/misc/iron_ingot_from_nuggets, minecraft:recipes/misc/iron_ingot_from_nuggets, minecraft:recipes/root
minecraft:recipes/decorations/cyan_bed, minecraft:recipes/decorations/cyan_bed, minecraft:recipes/root
thebetweenlands:adventurer/environmentalist, thebetweenlands:adventurer/environmentalist, thebetweenlands:adventurer/big_wood
minecraft:recipes/transportation/jungle_boat, minecraft:recipes/transportation/jungle_boat, minecraft:recipes/root
minecraft:adventure/shoot_arrow, minecraft:adventure/shoot_arrow, minecraft:adventure/kill_a_mob
minecraft:recipes/building_blocks/magenta_stained_hardened_clay, minecraft:recipes/building_blocks/magenta_stained_hardened_clay, minecraft:recipes/root
minecraft:recipes/building_blocks/birch_stairs, minecraft:recipes/building_blocks/birch_stairs, minecraft:recipes/root
minecraft:recipes/building_blocks/jungle_stairs, minecraft:recipes/building_blocks/jungle_stairs, minecraft:recipes/root
iceandfire:iceandfire/use_tide_trident, iceandfire:iceandfire/use_tide_trident, iceandfire:iceandfire/kill_sea_serpent
minecraft:recipes/redstone/heavy_weighted_pressure_plate, minecraft:recipes/redstone/heavy_weighted_pressure_plate, minecraft:recipes/root
minecraft:recipes/transportation/dark_oak_boat, minecraft:recipes/transportation/dark_oak_boat, minecraft:recipes/root
minecraft:recipes/transportation/carrot_on_a_stick, minecraft:recipes/transportation/carrot_on_a_stick, minecraft:recipes/root
minecraft:recipes/redstone/daylight_detector, minecraft:recipes/redstone/daylight_detector, minecraft:recipes/root
minecraft:recipes/food/pumpkin_pie, minecraft:recipes/food/pumpkin_pie, minecraft:recipes/root
minecraft:recipes/building_blocks/purpur_pillar, minecraft:recipes/building_blocks/purpur_pillar, minecraft:recipes/root
iceandfire:iceandfire/kill_cyclops, iceandfire:iceandfire/kill_cyclops, iceandfire:iceandfire/bestiary
minecraft:recipes/decorations/end_rod, minecraft:recipes/decorations/end_rod, minecraft:recipes/root
minecraft:recipes/building_blocks/pink_wool, minecraft:recipes/building_blocks/pink_wool, minecraft:recipes/root
minecraft:recipes/redstone/jungle_door, minecraft:recipes/redstone/jungle_door, minecraft:recipes/root
vampirism:vampire/become_vampire, vampirism:vampire/become_vampire, vampirism:main/root
minecraft:recipes/building_blocks/nether_brick_stairs, minecraft:recipes/building_blocks/nether_brick_stairs, minecraft:recipes/root
thebetweenlands:fighter/crowd_control, thebetweenlands:fighter/crowd_control, thebetweenlands:fighter/shield_wall
minecraft:recipes/decorations/brown_bed_from_white_bed, minecraft:recipes/decorations/brown_bed_from_white_bed, minecraft:recipes/root
thebetweenlands:fighter/critical_hit, thebetweenlands:fighter/critical_hit, thebetweenlands:fighter/chopping_boy
minecraft:story/enter_the_end, minecraft:story/enter_the_end, minecraft:story/follow_ender_eye
minecraft:recipes/building_blocks/lit_pumpkin, minecraft:recipes/building_blocks/lit_pumpkin, minecraft:recipes/root
minecraft:recipes/redstone/jungle_fence_gate, minecraft:recipes/redstone/jungle_fence_gate, minecraft:recipes/root
minecraft:recipes/building_blocks/polished_granite, minecraft:recipes/building_blocks/polished_granite, minecraft:recipes/root
minecraft:husbandry/breed_an_animal, minecraft:husbandry/breed_an_animal, minecraft:husbandry/root
thebetweenlands:survivalist/fetch, thebetweenlands:survivalist/fetch, thebetweenlands:survivalist/root
minecraft:recipes/building_blocks/stonebrick, minecraft:recipes/building_blocks/stonebrick, minecraft:recipes/root
minecraft:recipes/redstone/piston, minecraft:recipes/redstone/piston, minecraft:recipes/root
minecraft:recipes/combat/golden_leggings, minecraft:recipes/combat/golden_leggings, minecraft:recipes/root
minecraft:recipes/building_blocks/stone_stairs, minecraft:recipes/building_blocks/stone_stairs, minecraft:recipes/root
minecraft:recipes/building_blocks/chiseled_red_sandstone, minecraft:recipes/building_blocks/chiseled_red_sandstone, minecraft:recipes/root
minecraft:recipes/transportation/rail, minecraft:recipes/transportation/rail, minecraft:recipes/root
minecraft:recipes/decorations/brown_stained_glass_pane, minecraft:recipes/decorations/brown_stained_glass_pane, minecraft:recipes/root
minecraft:recipes/building_blocks/light_gray_stained_hardened_clay, minecraft:recipes/building_blocks/light_gray_stained_hardened_clay, minecraft:recipes/root
iceandfire:iceandfire/dragonbone_tool, iceandfire:iceandfire/dragonbone_tool, iceandfire:iceandfire/kill_if_dragon
minecraft:recipes/decorations/dark_oak_fence, minecraft:recipes/decorations/dark_oak_fence, minecraft:recipes/root
minecraft:recipes/combat/diamond_boots, minecraft:recipes/combat/diamond_boots, minecraft:recipes/root
minecraft:recipes/building_blocks/nether_brick, minecraft:recipes/building_blocks/nether_brick, minecraft:recipes/root
minecraft:end/respawn_dragon, minecraft:end/respawn_dragon, minecraft:end/kill_dragon
iceandfire:iceandfire/dragon_horn, iceandfire:iceandfire/dragon_horn, iceandfire:iceandfire/dragon_egg
minecraft:story/smelt_iron, minecraft:story/smelt_iron, minecraft:story/upgrade_tools
minecraft:recipes/redstone/wooden_door, minecraft:recipes/redstone/wooden_door, minecraft:recipes/root
minecraft:recipes/decorations/light_blue_bed, minecraft:recipes/decorations/light_blue_bed, minecraft:recipes/root
minecraft:recipes/building_blocks/chiseled_stonebrick, minecraft:recipes/building_blocks/chiseled_stonebrick, minecraft:recipes/root
minecraft:recipes/building_blocks/pink_stained_glass, minecraft:recipes/building_blocks/pink_stained_glass, minecraft:recipes/root
minecraft:recipes/decorations/light_gray_stained_glass_pane, minecraft:recipes/decorations/light_gray_stained_glass_pane, minecraft:recipes/root
minecraft:recipes/decorations/light_gray_bed_from_white_bed, minecraft:recipes/decorations/light_gray_bed_from_white_bed, minecraft:recipes/root
minecraft:recipes/building_blocks/bone_block, minecraft:recipes/building_blocks/bone_block, minecraft:recipes/root
#output time is 1 ms.
